PlaneID	 Status	 Request Time	 Runway Time	 Turnaround Time	
 1	 L		 0		 3		 3
 3	 L		 1		 5		 4
 5	 L		 2		 8		 6
 7	 L		 3		 10		 7
 0	 D		 0		 12		 12
 9	 L		 4		 14		 10
 11	 L		 5		 16		 11
 13	 L		 6		 19		 13
 15	 L		 7		 21		 14
 17	 L		 9		 23		 14
 19	 L		 10		 26		 16
 21	 L		 11		 28		 17
 23	 L		 12		 30		 18
 25	 L		 13		 33		 20
 27	 L		 14		 35		 21
 2	 D		 25		 37		 12
 4	 D		 26		 39		 13
 29	 L		 15		 41		 26
 81	 E		 40		 43		 3
 31	 L		 16		 45		 29
 33	 L		 17		 47		 30
 35	 L		 18		 50		 32
 37	 L		 19		 52		 33
 6	 D		 41		 54		 13
 39	 L		 20		 56		 36
 41	 L		 21		 58		 37
 43	 L		 22		 60		 38
